ID,S2_idx
ID_1EB0DGFP07,44
ID_844T2PSXTK,58
ID_4MCV3S8MLN,27
ID_L7441JV5F3,68
ID_5GUVM4YEWZ,57
ID_UJCCC7ZXWL,20
ID_KUQ56NHKRC,11
ID_342CVK5J6Z,59
ID_38AT499617,42
ID_FCHHTWBXW4,46
ID_51G99BK65O,88
ID_8F5APW38G5,40
ID_O894D7M0VU,81
ID_GSDA622T4C,28
ID_S5XH2N7HHU,36
ID_C97E7TZDX3,50
ID_HKXOGZ7785,14
ID_JT0SG47X0A,62
ID_1LU1GQKRM6,18
ID_OGRFKUPW5Q,32
ID_UC4GARG8G5,75
ID_YN7969NO6H,7
ID_C7RM8J7UGT,17
ID_X8Y2E1PZA4,70
ID_FY51KPFY9N,73
ID_A24LGY5Y0E,76
ID_5GEMKEGKNX,74
ID_2M9MQZF3S8,53
ID_IGGXMA9GZH,2
ID_40LK1INKRI,69
ID_I8NU7NS04A,63
ID_9B20TXNIDK,80
ID_8B1D1TUTFA,1
ID_IEPBTPUJ9C,78
ID_4NPSIR5L53,23
ID_R9RDU5P8UO,51
ID_CBH917UZP2,56
ID_QYF2KWKMS1,33
ID_0BX5DYZD39,16
ID_VT67F721DQ,77
ID_VJNZBBWW6L,37
ID_MAHNTU9MKC,64
ID_QJMFRH0157,45
ID_LSCO1MRIBD,29
ID_D6C9N2X295,3
ID_QYZPVN14N6,34
ID_1W0Z7Z03FA,8
ID_F9R1A6KS3O,84
ID_G7BYL7V20J,54
ID_BYHBV61AFG,71
ID_TBVYNNOWBH,43
ID_X3QD1XNWP5,30
ID_4T5Z9ZTC6P,6
ID_ERYI944XVK,38
ID_KYV7TLA3TL,10
ID_BWVRXVQE9Q,25
ID_JH01F8GPC2,5
ID_F4GWV685E7,35
ID_GNWSJY4XMI,87
ID_FOFNOQ7YTE,15
ID_EAD732W3XX,13
ID_ZZMOO06PHG,67
ID_I851CU985B,60
ID_05YSXSLU2Q,61
ID_QU7GKMVBF5,21
ID_6IEENAY3DS,9
ID_PVMLBTN01X,85
ID_IEX6OQA1L4,83
ID_IRMB06E0A6,86
ID_EFLNDZMQJR,31
ID_MDU5TNIU9G,47
ID_YJT3TZHN4Q,66
ID_1WVH8KPA4T,24
ID_O33P1CNAGW,39
ID_8JC15PNP3Q,4
ID_R1C9OFX6LP,19
ID_AM0EUMQBC3,72
ID_0YPJON1GHW,26
ID_37BB87PFZX,82
ID_NEU20PLXQK,22
ID_S2N80V8XI0,89
ID_Q9RFM0OUQ8,49
ID_Z0UH9479AB,65
ID_2KSUJ32FOL,12
ID_O51NFCIH9G,48
ID_MEW6189J1B,41
ID_TH9HRUXGTP,52
ID_GPC7YS3JG8,79
ID_1P7PJMPV0R,0
ID_NTFSOIOEOG,55
